state_postal_abbrev,county_number,fips_code,county_name,2012_total_votes,obama_votes,romney_votes,obama_percent,romney_percent,obama_two_party_margin,2016_total_votes,clinton_votes,trump_votes,clinton_percent,trump_percent,clinton_two_party_margin,2012_2016_margin_change
FL,10001,12001,Alachua,120318,69634,48765,0.5787,0.4053,0.1763,128571,75820,46834,0.5897,0.3643,0.2363,0.0601
FL,10002,12003,Baker,11366,2310,8974,0.2032,0.7895,-0.5906,12634,2112,10294,0.1672,0.8148,-0.6595,-0.0689
FL,10003,12005,Bay,79834,22037,56863,0.276,0.7123,-0.4414,87453,21797,62194,0.2492,0.7112,-0.481,-0.0396
FL,10004,12007,Bradford,11631,3324,8216,0.2858,0.7064,-0.4239,12098,2924,8913,0.2417,0.7367,-0.506,-0.082
FL,10005,12009,Brevard,285504,122972,159270,0.4307,0.5579,-0.1286,314752,119679,181848,0.3802,0.5778,-0.2062,-0.0776
FL,10006,12011,Broward,755166,507430,243732,0.6719,0.3228,0.3511,831951,553320,260951,0.6651,0.3137,0.3591,0.008
FL,10007,12013,Calhoun,6152,1664,4366,0.2705,0.7097,-0.4481,6081,1241,4655,0.2041,0.7655,-0.579,-0.1309
FL,10008,12015,Charlotte,84664,35896,47988,0.424,0.5668,-0.1442,96374,33445,60218,0.347,0.6248,-0.2858,-0.1417
FL,10009,12017,Citrus,73923,28453,44657,0.3849,0.6041,-0.2216,79700,22789,54456,0.2859,0.6833,-0.41,-0.1883
FL,10010,12019,Clay,96549,25745,69996,0.2667,0.725,-0.4622,106483,27822,74963,0.2613,0.704,-0.4586,0.0036
FL,10011,12021,Collier,149080,51678,96508,0.3466,0.6474,-0.3025,170789,61085,105423,0.3577,0.6173,-0.2663,0.0362
FL,10012,12023,Columbia,27163,8462,18429,0.3115,0.6785,-0.3706,28707,7601,20368,0.2648,0.7095,-0.4565,-0.0858
FL,10014,12027,DeSoto,9863,4174,5587,0.4232,0.5665,-0.1448,10818,3781,6778,0.3495,0.6265,-0.2838,-0.1391
FL,10015,12029,Dixie,6941,1798,5052,0.259,0.7278,-0.475,7202,1270,5822,0.1763,0.8084,-0.6418,-0.1668
FL,10016,12031,Duval,411702,196657,211553,0.4777,0.5138,-0.0365,432695,205704,211672,0.4754,0.4892,-0.0143,0.0222
FL,10017,12033,Escambia,148430,58154,88671,0.3918,0.5974,-0.2078,152469,57461,88808,0.3769,0.5825,-0.2143,-0.0065
FL,10018,12035,Flagler,50589,23204,26966,0.4587,0.533,-0.075,57503,22026,33850,0.383,0.5887,-0.2116,-0.1366
FL,10019,12037,Franklin,5474,1845,3570,0.337,0.6522,-0.3186,6015,1744,4125,0.2899,0.6858,-0.4057,-0.0871
FL,10020,12039,Gadsden,22495,15768,6628,0.701,0.2946,0.4081,22113,15020,6728,0.6792,0.3043,0.3813,-0.0268
FL,10021,12041,Gilchrist,7908,1885,5917,0.2384,0.7482,-0.5168,8420,1458,6740,0.1732,0.8005,-0.6443,-0.1275
FL,10022,12043,Glades,3989,1603,2344,0.4019,0.5876,-0.1877,4353,1271,2996,0.292,0.6883,-0.4043,-0.2165
FL,10023,12045,Gulf,7107,2013,4995,0.2832,0.7028,-0.4255,7293,1720,5329,0.2358,0.7307,-0.512,-0.0865
FL,10024,12047,Hamilton,5404,2226,3137,0.4119,0.5805,-0.1699,5460,1904,3443,0.3487,0.6306,-0.2878,-0.118
FL,10025,12049,Hardee,7222,2461,4694,0.3408,0.65,-0.3121,7583,2149,5242,0.2834,0.6913,-0.4185,-0.1064
FL,10026,12051,Hendry,10185,4751,5355,0.4665,0.5258,-0.0598,11115,4615,6195,0.4152,0.5574,-0.1462,-0.0864
FL,10027,12053,Hernando,83593,37791,44906,0.4521,0.5372,-0.086,93796,31795,58970,0.339,0.6287,-0.2994,-0.2134
FL,10028,12055,Highlands,42440,16147,25912,0.3805,0.6106,-0.2322,45686,14937,29565,0.3269,0.6471,-0.3287,-0.0965
FL,10029,12057,Hillsborough,541503,286158,249904,0.5285,0.4615,0.0676,597660,307896,266870,0.5152,0.4465,0.0714,0.0037
FL,10030,12059,Holmes,8274,1264,6919,0.1528,0.8362,-0.6911,8514,853,7483,0.1002,0.8789,-0.7953,-0.1043
FL,10031,12061,Indian River,71445,27483,43441,0.3847,0.608,-0.225,80009,29043,48620,0.363,0.6077,-0.2521,-0.0271
FL,10032,12063,Jackson,20940,7342,13417,0.3506,0.6407,-0.2926,21041,6397,14257,0.304,0.6776,-0.3806,-0.0879
FL,10033,12065,Jefferson,7808,3945,3808,0.5053,0.4877,0.0177,7645,3541,3930,0.4632,0.5141,-0.0521,-0.0697
FL,10034,12067,Lafayette,3399,687,2668,0.2021,0.7849,-0.5905,3392,518,2809,0.1527,0.8281,-0.6886,-0.0981
FL,10035,12069,Lake,150796,61790,87637,0.4098,0.5812,-0.173,170462,62838,102188,0.3686,0.5995,-0.2384,-0.0655
FL,10036,12071,Lee,266034,110080,154112,0.4138,0.5793,-0.1667,326420,124908,191551,0.3827,0.5868,-0.2106,-0.0439
FL,10037,12073,Leon,148335,90863,55806,0.6126,0.3762,0.239,152132,92068,53821,0.6052,0.3538,0.2622,0.0231
FL,10038,12075,Levy,18396,6118,12052,0.3326,0.6551,-0.3266,19395,5101,13775,0.263,0.7102,-0.4595,-0.1329
FL,10039,12077,Liberty,3284,942,2301,0.2868,0.7007,-0.4191,3296,651,2543,0.1975,0.7715,-0.5924,-0.1733
FL,10040,12079,Madison,8712,4174,4474,0.4791,0.5135,-0.0347,8505,3526,4851,0.4146,0.5704,-0.1582,-0.1235
FL,10041,12081,Manatee,153451,66476,85616,0.4332,0.5579,-0.1258,178958,71224,101944,0.398,0.5697,-0.1774,-0.0516
FL,10042,12083,Marion,161368,66823,93036,0.4141,0.5765,-0.164,174700,62041,107833,0.3551,0.6172,-0.2696,-0.1056
FL,10043,12085,Martin,78860,30097,48180,0.3817,0.611,-0.231,85792,30185,53204,0.3518,0.6202,-0.276,-0.045
FL,10013,12086,Miami-Dade,877245,540776,332602,0.6164,0.3791,0.2384,980204,624146,333999,0.6368,0.3407,0.3028,0.0645
